Num,Pollster,Number of Polls,Database,Calls Cellphones?,Banned by 538,Historical Advanced Plus-Minus,Predictive    Plus-Minus,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Historical Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,Predictive Plus-Minus,Number of Polls for Bias Analysis,Bias,Mean-Reverted Bias,House Effect,538 Grade
1,Field Research Corporation (Field Poll),23,Yes,Yes,No,-2.5,-1.3,100,17,3.9,5.5,-1.6,-2.5,-1.1,-1.3,16,R +3.3,R +1.1,D +0.8,A
2,Selzer & Company,32,Yes,Yes,No,-1.5,-1,84,22,4.1,5.4,-1.3,-1.5,-0.8,-1,22,D +0.0,D +0.0,D +1.8,A
3,Ciruli Associates,17,Yes,Yes,No,-2,-1,94,0,3.6,5.5,-1.9,-2,-0.7,-1,16,R +2.1,R +0.7,R +2.5,A
4,SurveyUSA,722,Yes,Sometimes,No,-1,-0.9,91,14,4.5,5.4,-0.9,-1,-1,-0.9,569,R +0.2,R +0.2,R +0.5,A
5,Elway Research,16,Yes,Yes,No,-1.9,-0.9,88,6,4.4,5.9,-1.5,-1.9,-0.7,-0.9,14,D +1.5,D +0.5,D +4.6,A
6,Grove Insight,29,No,Yes,No,-2.1,-0.9,90,7,3.1,4.8,-1.7,-2.1,-1.1,-0.9,29,D +1.0,D +0.5,D +3.4,A
7,Blum & Weprin Associates,18,No,Yes,No,-2.8,-0.9,94,11,4.6,5.1,-0.5,-2.8,-1.1,-0.9,16,R +3.0,R +1.0,D +1.2,A
8,National Journal,12,Yes,Yes,No,-2.1,-0.8,100,0,2.6,5,-2.4,-2.1,-0.6,-0.4,12,R +0.6,R +0.2,D +0.3,A
9,"Ipsos, telephone",21,Yes,Yes,No,-1.2,-0.7,74,5,3.8,5.1,-1.3,-1.2,-0.5,-0.7,19,D +1.1,D +0.4,D +0.6,A
10,Muhlenberg College,20,Yes,Yes,No,-1.2,-0.7,90,5,2.9,5,-2.1,-1.2,-0.5,-0.3,20,R +1.2,R +0.5,D +0.1,A
